s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
105,Paul Nash ,Landscape from a Dream ,surrealism,Tate,9,FALSE,painting,"painting, oil on canvas",68 x 102 cm,1938,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,0,0,0,0,4,FALSE,0,0,5,"strange combination of odd objects, repeating images, reflection, space, iconography"
384,Raoul Ubac ,BrМИlage,surrealism,Pompidou,12,FALSE,photography,"photo, gelatin silver print",24 x 18 cm,1939,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,3,3,0,0,4,FALSE,0,0,5,"process still, very deep rich blacks, very hard to tell what this is or how it's been made, shapes merge / blur into each other, is this a closeup? changed form by submitting photographic emulsion of the negative to heat of a hot plate, images literally liquified - burning process to randomly transform & alter the image "
64,Frank Humphrey Sinkler Jennings,Swiss Roll ,,Tate,9,FALSE,painting,"painting, oil paint on canvas on board",35 x 45 cm,1939,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,2,1,0,0,0,2,FALSE,0,0,5,"suggested movement of falling object painted in air in front of landscape, gravity, strange combination. Placement of swiss roll and its large size in relation to mountain landscape creates sense of gravity. "
174,Graham Sutherland ,Entrance to a Lane ,,Tate,9,FALSE,painting,painting oil on canvas,61 x 51 cm,1939,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,3,0,2,0,4,FALSE,3,5,5,"spaces created w/ dark shapes, specific, odd, particular, curved semi-abstract shapes, ambiguity, specific colors"
188,Luigi Veronesi,Photo n.152,,Tate,6,FALSE,photography,"photo, photograph, gelatin silver print on paper",32 x 30 mm,1940,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,5,0,0,1,2,FALSE,5,5,3,"multiple points & line, slow shot to give blurring & suggest movement, space, semi-transparency, experimental, also filmaker; suggestive of movement, semi-transparent, what is the object"
125,John Piper,Seaton Delaval ,representation,Tate,9,FALSE,painting,"painting, oil paint on canvas on wood",71 x 88 cm,1941,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,5,3,0,1,3,FALSE,0,5,5,"dark, outlined buildings, indeterminate space, scratching on surface, searching, querying use of line"
150,Leonard Rosoman,Bomb Falling into Water ,representation,Tate,9,FALSE,painting,"painting, oil on canvas",64 x 76 cm,1942,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,4,3,0,2,3,FALSE,5,3,5,"energetic paint handling, composition divided by light areas, layers creating space, hard to tell what this is"
325,Harry Callahan,Detroit,,MoMA,1,FALSE,photography,"photo, gelatin silver print",8 x 11 cm,1943,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,4,2,0,0,2,FALSE,0,3,5,"repetition, overlaying & semi-transparent, multiple techniques (transparency, repeating, overlaying images) which creates some uncertainty"
36,Jean Fautrier,Head of a Hostage ,abstraction,Tate,4,FALSE,sculpture,"sculpture, lead on marble base",54 x 30 x 31 cm,1943,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,4,0,0,4,FALSE,0,0,5,"very textural, hard to read what this is,  is this a head?"
45,Arshile Gorky,Untitled,abstraction,Cleveland Museum of Art,1,FALSE,painting,"painting, oil & graphite on canvas",50 x 64 cm,1944,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,4,4,0,2,4,FALSE,0,3,5,"quality of thin paint, wash, shapes, drips, areas of bare canvas, handdrawn gestures"
364,Clyfford Still ,1944-N No. 2,abstract expressionism,MoMA,1,FALSE,painting,"painting, oil on canvas",265 x 221 cm,1944,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,4,2,2,1,4,FALSE,0,3,5,"space & angular shapes & mostly black 'ground', jagged off center lines, dark space, some lines are vertical, one long one runs across and plunges down the canvas, balanced by small green on right, insistent, black marks show, large canvas, what is this, striking, particular shapes against immense of dark ground"
153,Mark Rothko,Untitled ,abstract expressionism,MoMA also Tate,1,FALSE,painting,"painting, watercolor & gouache on paper",55 x 76 cm,1945,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,2,0,0,4,FALSE,3,5,5,"painted lines & shapes semi-abstract, surreal, probably scratching into surface, searching line, suggested deep space in his work in general, murky edges of shapes"
361,LМБszlМ_ Moholy-Nagy,"Vertical Black, Red, Blue",,LACMA also MoMA,21,FALSE,sculpture,"sculpture, oil & incised lines on molded Plexiglas, on original base",43 x 29 x 10 cm,1945,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,4,3,1,1,2,FALSE,5,5,5,"floating shape incised w/ circular overlapping lines on molded plexi, use of molded, transparent plexi - surface is not flat & it is see-through; red, black dots in lines creating radiating shapes, hard to tell where these are because of plexi they are on; also made kinetic works & used light. here both surface and placement of dotted lines on this surface create uncertainty"
360,Mark Rothko ,No. 5/No. 24,abstract expressionism,MoMA,1,FALSE,painting,"painting, oil on canvas",86 x 128 cm,1948,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,4,4,4,0,4,FALSE,0,3,5,"floating shapes, shapes almost hovering, orange / siena ground creates vibrant contrast w/ values, varied particular shapes but hard to tell what they allude to, all sited underneath light brown shape extending horizontally 1/3 way down canvas, textural thin brushmarks"
359,Philippe Halsman,Dali Atomicus,,MoMA,1,FALSE,photography,"photo, gelatin silver print",26 x 33 cm,1948,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,1,0,0,1,FALSE,3,3,5,"staged photo, movement, combination of elements, shadow, depicting movement in space, objects in mid-air, arc of water, droplets off cats in mid-air, theatrical, surrealist"
357,Louise Bourgeois,Untitled,,MoMA,4,FALSE,drawing,"drawing, ink, charcoal, & gouache on paper",50 x 65 cm,1949,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,2,3,1,4,4,FALSE,0,5,3,"repetition of slightly curving leaning shapes w/ one side w/ parallel lines; blank spaces, one spot of color, use of space & repeated shapes (figures / trees / knives?) & one area of color which is hard to define, lines made with range of materials, hard to tell what the repeated vertical shapes represent / describe or the parallel fainter horizontal directional lines. some shapes go from top to bottom, most are much less tall"
375,Jacques Villon,Interior,,MoMA,4,FALSE,drawing,"drawing, ink on paper",23 x 17 cm,1950,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,4,3,0,2,3,FALSE,0,0,5,"overlayering, cross hatching, use of blank space, lightness, cross hatch layer all over the drawing, lightweight marks only lines, no areas only light parallel lines, some marks more scribbled, loops, energetic handdrawn marks"
354,Julius Bissier,Untitled,,MoMA,5,FALSE,print,"print, lithograph",size unknown,1950,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,3,3,0,2,4,FALSE,0,5,5,"large isolated, abstract marks, looks as if it is made with brush even though it is a lithograph, hard to tell what the shapes are, leaning, thinner lines & larger areas, textural"
