s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
73,Julio Le Parc,"Continual Mobile, Continual Light ",constructivism,Tate,10,FALSE,installation,"installation, painted wood, aluminium & nylon thread - kinetic",158 x 160 x 51 cm,1963,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,1,1,1,0,4,0,TRUE,0,5,5,"kinetic relief - mirror-plate squares hung on threads, mirrors / reflections, moved by air currents, shadows, едМЭМбmovementедМЭе», едМЭМбindeterminacyедМЭе», едМЭМбunpredictabilityедМЭе»"
78,Heinz Mack,Light Dynamo ,kinetic art,Tate,5,FALSE,sculpture,"sculpture, aluminium, glass, wood & motor",58 x 57 x 22 cm,1963,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,2,2,0,5,0,TRUE,0,5,5,"optical illusions created thro materials & movement, when piece is turned on see rippling wave movements undulating across disc w/ reed pattern, lines constantly reforming geometries"
63,Tess Jaray,Cupola Blue ,abstraction,Karsten Schubert Gallery,9,FALSE,painting,"painting, oil on canvas",183 МОМФ 152 cm,1963,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,0,5,2,FALSE,0,5,5,"repetition, close to mirror image, hard to tell what the exact space is"
145,Bridget Riley,Fall ,op art,Tate,9,FALSE,painting,"painting, polyvinyl acetate paint on hardboard",141 x 140 cm,1963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,3,0,0,4,4,FALSE,0,5,0,"parallel curved lines to create undulations, field of varying optical frequencies"
344,Lucio Fontana ,Concetto Spaziale from Six Original Etchings (Sei Acqueforti Originali),,MoMA,10,FALSE,print,"print, one from a portfolio of 6 etchings with embossing",64 x 50 cm,1964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,4,0,0,4,FALSE,5,3,5,"appearance of differently shaped holes, gorged, almost in 4 columns starting at different heights, scored surface lines describing oval around the holes and selectively placed parallel lines; surface appears to be pierced through forcefully, how made, why made, what do they represent"
394,Pol Bury,"1,914 White Points",ZERO,MoMA,12,FALSE,sculpture,"sculpture, plastic-tipped nylon wires with wood panel & motor",100 x 50 x 12 cm,1964,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,2,1,1,0,4,3,FALSE,5,5,5,"motor which very slowly moves plastic-tipped nylon wires sticking out in slight curves from board on wall, slowly vibrating movement, kinetic art, thin size of wires, interested in imperceptible movement"
343,Hi Red Center,Canned Mystery,fluxus,MoMA,27,TRUE,sculpture,"sculpture, sealed metal can with label, containing unknown contents",8 x 7 x 7 cm,1964,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,0,2,3,1,4,FALSE,0,0,5,"group - use of red exclamation symbol onclosed object, can, creates questions/ uncertainty"
368,RenМ© Magritte ,The Thought Which Sees,surrealism,MoMA,4,FALSE,drawing,"drawing, pencil on paper",40 x 30 cm,1965,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,3,2,0,1,4,FALSE,0,5,5,"combination of images together & within images, collage-like, hard to tell relationship of figures, which way each is facing, no facial descriptions, grey tones, striking short lines in some areas parallel, elsewhere crosshatched, surreal"
98,Gustav Metzger,Liquid Crystal Environment ,,Tate,5,FALSE,installation,"projection, 5 control units, liquid crystals and slide, 35 mm, 5 projections","5 projections, dimensions variable, 22 min display",1965,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,2,4,3,3,0,3,FALSE,0,0,5,"22 minutes duration, movement / sense of movement; scale: heat-sensitive liquid crystals bet glass slides, inserted into projectors, slides are rotated"
391,Takesada Matsutani ,Work 65-B-1,gutai,Hauser and Wirth,27,FALSE,painting,"painting, polyvinyl acetate adhesive, acrylic & oil on canvas, mounted on plywood board",183 x 138 x 5 cm,1965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,4,0,4,2,FALSE,3,3,5,"vinyl glue creating wrinkles across the surface, paint made to look bulbous, bodylike, surface sags but in 2 directions down & small area to left, creates lines, bubbles, is paint sliding off surface"
157,Ed Ruscha ,maquette for Every Building on the Sunset Strip,conceptual,Getty also Tate,1,TRUE,photography,"photo, gelatin silver prints & labels on board with annotations",book: 24-foot-long,1966,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,2,1,0,4,3,FALSE,0,0,5,"serial images of street buildings, in rows w/ opposite side of street upside down, use of right way up & upside down, as if reflection"
192,Andy Warhol,Double Torso,pop art,Mutual Art also in Tate,1,FALSE,painting,"painting, fluorescent silkscreen inks on canvas",111 x 202 cm,1966,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,5,0,0,0,1,FALSE,0,0,5,"use of paint which only shows under UV light - bottom image is same as top one but under UV light, created w/ fluorescent silkscreen inks on canvas"
301,Stan Brakhage,23rd Psalm Branch (Part 1 & 2),,MoMA,1,FALSE,photography,"photo, film still, 16mm film (color, silent)",64 min film,1966,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0,3,4,4,4,0,4,FALSE,5,0,5,"intense pools of color, different values, is this an image of blood? it is from a two-part film 'study of war' streaming harrowing newsreel WWII images rapidly interspersed w/ closeup textural colors, values"
112,HМ©lio Oiticica,Grand Nucleus (Grande NМјcleo) ,Neo-Concrete Movement,Tate,13,FALSE,installation,"installation, double-sided hanging painted wood panels, varying sizes",670 x 975 cm,1966,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,0,0,1,2,1,FALSE,0,0,5,"suspended panels, seemingly floating, walk among them, sense of exploded space"
97,Marisa Merz,Untitled (Living Sculpture) ,arte povera,Tate,6,FALSE,sculpture,"sculpture, aluminium",dimensions variable (installed in room),1966,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,0,1,1,0,3,1,FALSE,0,0,5,"suspended aluminum from ceiling, hanging, is it heavy, will it fall"
90,Mary Martin,nversions,constructivism,Tate,9,FALSE,sculpture,"sculpture, aluminium, oil paint & wood",183 x 732 x 28 cm,1966,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,2,2,0,5,1,TRUE,0,0,5,"96 angled reflective metal planes, huge size, in sequence of permutations, which are repeated backwards as the едМЭМбinversionsедМЭе»"
129,Larry Poons,Out,,Tate,1,FALSE,painting,"painting, acrylic on canvas",198 x 519 cm,1967,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,4,1,0,3,1,FALSE,3,3,5,"marks close to being line & almost dots, repeated in indeterminate space, partly see-through, spatial depth in use of fading out paint, repeated marks"
340,James Boynton ,Untitled,,MoMA,1,FALSE,print,"print, lithograph",28 x 26 cm,1967,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,4,0,0,2,FALSE,0,5,5,"shadow & sense of suspension, placing sphere in 'box' w/ shadow as if suspended, textural quality of sphere"
385,Allan Kaprow ,Fluids,,Hauser and Wirth,1,FALSE,installation,"installation, blocks of ice","900 cm long, 300 cm wide and 240 cm high",1967,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,3,5,0,0,1,FALSE,0,0,5,"melting material, erodes away, movement, ice blocks forming large enclosures melting so literally uncertain"
3,Giovanni Anselmo,Direction,arte povera,Tate,6,FALSE,sculpture,"sculpture, fabric, glass & metal",24 x 420 x 335 cm,1967,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,3,1,3,0,3,2,FALSE,0,0,5,"hard to understand the viewpoint, sense of force & what is acting on the material"
338,Mira Schendel ,Untitled from the series Graphic objects (Objetos grМБficos),,MoMA,13,TRUE,drawing,"drawing, graphite, transfer type, and oil on paper between
transparent acrylic sheets with transfer type",100 x 100 x 1 cm,1967,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,4,4,2,0,2,4,FALSE,3,5,3,"overlaying, scale, use of backwards & forwards letters, repetition w/ different sizes & values, mix of letters, cartographic symbols & sense of landscape, spatial effects"
138,Isabel Rawsthorne,View through a Window II ,,Tate,9,FALSE,painting,"painting, oil on canvas",94 x 175 cm,1967,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,4,0,1,4,FALSE,0,5,5,"smudged, smeared paint, can't entirely work out the space & what this is"
76,Liliane Lijn,Liquid Reflections 2nd Series,abstraction,lilianelijn.com (and Tate),1,FALSE,installation,"installation, acrylic drum w/ water, turntable, projector lamp, acrylic balls",84 x 140 x 114 cm,1968,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,1,4,4,1,4,1,TRUE,5,0,5,"kinetic, motion, light, layers, suspension, reflection"
106,Bruce Nauman,Dance or Exercise on the Perimeter of a Square (Square Dance)    ,conceptual,MACBA Collection also Tate,1,FALSE,video_film,"video, 16 mm film transferred to video, b/w, sound",8 min video,1968,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,0,0,0,0,2,2,FALSE,0,5,5,"performance on perimeter of square, video of performance - repetitive movement defining space from center to corner defined only by length of stride; facing outwards, then facing inwards. Odd, inquiring, uncertain about what is going to happen and what this is about, art as process"
104,Robert Morris,Untitled,minimalism,Tate,1,FALSE,sculpture,"sculpture, fibreglass & nylon threads",46 x 244 x 244 cm,1968,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,0,2,0,0,1,FALSE,0,0,5,"seemingly heavy large object suspended, unknown shape"
137,Robert Rauschenberg,Water Stop ,,Tate,1,TRUE,print,"print, lithograph on paper",138 x 81 cm,1968,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,3,3,0,4,4,FALSE,0,0,5,"combination of different images, different ways up, some overlaying, not defined edges, range of values"
358,Alexander Calder,The Bicycle,kinetic art,MoMA,4,FALSE,sculpture,"sculpture, wood, metal, motor, cord, & steel wire",156 x 150 x 66 cm,1968,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,1,1,0,0,4,1,FALSE,0,0,0,"motor driven sculpture, machine, light suspended parts, small moving parts, kinetic machine"
131,Liliana Porter ,Wrinkle ,,Tate,10,FALSE,print,"print, one of 10 photo-etchings on paper",22 x 29 cm,1968,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,3,4,0,0,4,FALSE,5,3,5,"emptiness, hyperreal scrunched material, pixelated/dotted empty ground"
216,Bhupen Khakhar ,Hamam Khana,,"Gallery Chemould Prescott Road, Mumbai also National Gallery of Modern Art, 22 ",22,FALSE,painting,"painting, oil on board",124 x 124 cm,1968,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,1,0,1,2,4,FALSE,0,3,5,"composition, select areas, empty spaces, sparse placing of elements, simplified, placing of small figure"
94,Bruce McLean,Six Sculptures,conceptual,Tate,9,TRUE,photography,"photo, 6 photos, gelatin silver prints on paper, & typed captions",51 x 79 cm,1968,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,4,0,2,2,FALSE,0,0,5,"multiple, transitory sculptures, named, e.g. 'floataway sculpture..' 'mud sculpture ..', what is it, what is the art, sculpture in landscape, image shows texture & placement in landscape"
339,Dick Higgins,Symphony #269 from The Thousand Symphonies,fluxus,MoMA,9,TRUE,drawing,"drawing, spray paint on 3 sheets of offset printed musical composition paper",57 x 45 cm,1968,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,4,1,0,3,FALSE,0,5,5,"spraying / pouring, sprayed splotches on top of music lines, spatial effects"
18,Mel Bochner,Language is not transparent ,conceptual,Tate,1,TRUE,drawing,"drawing, ink on paper",25 x 18 cm,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,2,1,0,5,0,FALSE,0,5,0,"angled repeated sentence; content plays a part in addition to overlapping, placement & the materials. Uncertainty is predominately through orientation of the sentences and their subsequent overlapping, without the varied orientation, this would not communicate a jumbled sense of sentences piled up on each other"
166,Robert Smithson,Asphalt Rundown ,land art,wikiart.org also Tate,1,FALSE,installation,"installation, asphalt, hillside",hill size,1969,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,3,0,3,0,1,0,FALSE,0,0,5,"asphalt poured down hill, movement & gravity, action of materials asphalt pouring down hillside"
163,Richard Serra,2-2-1: To Dickie and Tina,minimalism,Tate,1,FALSE,sculpture,"sculpture, lead",132 x 349 x 132 cm,1969,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,4,0,3,0,4,3,FALSE,0,0,5,"balance, weight, leaning, interesting since the metal plates are so heavy but the balance & leaning conveys uncertainty"
335,Arman,I Still Use Brushes,,MoMA,4,FALSE,sculpture,"sculpture, brushes embedded in plastic, in acrylic box",203 x 203 cm,1969,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,0,3,0,3,3,FALSE,0,5,5,"repetition of real objects in plastic, multiple paintbrushes, different shapes & sizes, all same color handle, laid out in parallel, in rows partly overlaid, accumulations, encased within somewhat gooey, off-white plastic, in box"
334,Marcel Broodthaers ,Un coup de dМ©s jamais n'abolira le hasard (A throw of the dice will never abolish chance),conceptual,MoMA,12,FALSE,print,"print, mechanical engraving & paint on 12 aluminum plates",32 x 50 x 0.3 cm,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,0,1,0,0,2,FALSE,0,5,3,"blocking out lines of text, erasure, varying widths, lines over writing, what is underneath, here shows one in sequence of 12"
121,Margot Perryman,Arcade ,abstraction,Tate,9,FALSE,painting,"painting, acrylic on canvas",173 x 147 cm,1969,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,1,4,FALSE,0,0,5,"flat color planes, angle on yellow one, empty, odd, ambiguous space, seemingly simple"
43,Sam Gilliam,Simmering ,abstraction,Tate,1,FALSE,sculpture,"sculpture, acrylic on canvas and leather string",216 x 135 cm,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0,4,2,FALSE,0,0,5,"is this a painting, why is it not on a stretcher, suspended more like a cloak"
167,Robert Smithson,Partially Buried Woodshe,land art,wikiart.org also Tate,1,FALSE,installation,"installation, earth, shed",shed building size,1970,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,4,0,4,0,0,1,FALSE,0,0,5,"earth piled on top of shed engulfing it, action of materials - earth weight on building"
55,Eva Hesse,No Title ,postminimal,Whitney,1,FALSE,sculpture,"sculpture, latex, rope, string, and wire",dimensions variable (installed in room),1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,0,3,0,4,2,FALSE,0,5,0,"hanging weighty line and repetition, gravity, suspension, decay, materials, handmade quality, repetition"
25,Luis Camnitzer,Leftovers,conceptual,Tate,5,TRUE,installation,"installation, cardboard boxes, gauze, polyvinyl acetate",203 x 323 x 20 cm,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,0,4,4,0,4,FALSE,0,0,5,"uncertainty in terms of content, word 'leftovers' - what do these numbered boxes contain, what are the red stains"
160,Lucas Samaras,Chair Transformation #7,,Met also Tate,19,FALSE,sculpture,"sculpture, plastered cloth on wire",83 x 54 x 45 cm,1970,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,3,0,1,5,FALSE,0,5,0,"wobbly, textural lines to form furniture which should hold weight, often uses distortion, here chair is not as expected; pushes the boundaries of physical & psychological transformation"
47,Jan Groth,"Drawing, Untitled ",abstraction,Tate,7,FALSE,drawing,"drawing, crayon on paper",63 x 88 cm,1971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,1,4,0,2,1,FALSE,0,5,0,"handdrawn lines, varying weights, position on surface, emptiness"
337,Paul Thek,_Fishman in Excelsis Table_,,Whitney also MoMA,1,FALSE,sculpture,"sculpture, mixed media: wood, latex, wax, metal, paint, fabric, string, & Styrofoam",75 x 90 x 239 cm,1971,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,0,3,0,0,4,FALSE,0,3,5,"suspension & materials, suspended table high up near ceiling, materials bound under table cloth hanging down, old materials, skeleton, body parts, represent effigy of Thek surrounded by fish & looking like Christ, aka the fisherman"
151,Dieter Roth,Self-Portrait as a Flower Pot,,Tate,5,FALSE,print,"print, lithograph on paper",76 x 99 cm,1971,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,4,2,1,3,4,FALSE,0,5,0,"overlapping light lines to create shape, empty space, searching line, no edges, very light, ethereal"
89,Kenneth Martin,"Chance and Order Group VII, Drawing 6",constructivism,Tate,9,TRUE,painting,"painting, crayon, graphite, watercolour on paper",34 x 23 cm,1971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,1,2,4,0,FALSE,3,5,0,"use of chance to make drawing, use of overlapping, interlocking thick color lines"
11,Larry Bell,Untitled ,postminimal,Tate,1,FALSE,installation,"installation,sculpture, coated glass",188 x 549 x 244 cm,1971,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,5,3,0,0,1,TRUE,0,0,5,"coating on glass greater at base, fragility of material, reflective properties, change in value on glass makes surface change from presence to almost not there. Value change on the glass from bottom to top changes the surface of the glass and makes it seem to somewhat float. If the glass didn't have this change in value, there would be much less a sense of uncertainty"
316,John Cage ,IX from Mushroom Book,conceptual,MoMA,1,TRUE,print,"print, lithograph",57 x 51 cm,1972,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,3,1,0,4,1,FALSE,0,5,0,"overlapping text & erasure & different angles & writing off the page, all directions"
91,Gordon Matta-Clark,Bronx Floors: Threshole ,minimalism,Tate,1,FALSE,photography,"photo, 2 photos",2 photos (rhs) each 36 x 51 cm,1972,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,0,0,4,0,FALSE,0,0,5,"strange viewpoints thro buildings w/ cut out shapes give partial views, collage of photos, combination of spaces "
180,Richard Tuttle ,10th Wire Piece,postminimal,Pulitzer Gallery also Tate,1,FALSE,sculpture,"sculpture, florist wire, nails & graphite",installation dimensions variable,1972,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,4,2,0,3,4,FALSE,0,5,0,"wire attached to wall at top, drawn shape with pencil on wall, released to find own gravity, shadow, what is this, how is it made, minimal & craft, unusual materials, lightweight line"
146,Jean-Paul Riopelle,Suite Montmorency,abstraction,levadrouilleururbain also Tate,3,FALSE,print,"print, lithograph",117 x 158 cm,1972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,1,2,0,3,3,FALSE,3,5,5,"repeated dots and lines and marks, layered, different orientations & sections & unclear space & unclear what is below the marks"
35,МРyvind FahlstrМ¦m,"Sketch for World Map Part 1 (1s, Pacific)",conceptual,Tate,13,TRUE,print,"print, lithograph on paper",89 x 102 cm,1972,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,2,2,2,0,2,3,FALSE,0,5,3,representational play with expectation of realistic map
177,Jean Tinguely,Chaos I,kinetic art,Tate,26,FALSE,print,"print, etching on paper",35 x 48 cm,1972,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,0,0,0,4,4,FALSE,0,5,0,"arrows, suggested movement, off-balance, space, moving machines, rickety"
172,Ian Stephenson,Flaxman: Understudy,abstraction,Tate,9,FALSE,painting,"painting, oil, enamel & paper on paper",56 x 76 cm,1972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,5,2,2,1,0,2,FALSE,5,0,3,"splattering overlaying of paint droplets, placement matters, confining area matters, empty space, & tiny size of paint droplets is essential. Raised rectangle, irregularity creates an uncertainty of space, emptiness, what is there / not there, how this has been done"
139,Charles Ray,Plank Piece I-II ,,Tate,1,FALSE,photography,"photo, 2 photographs, black & white, on paper on board",Each (x 2) 109 x 56 x 5 cm,1973,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,3,3,FALSE,0,3,5,"performer pinned by plank, suspended on wall, balancing"
297,Dorothea Rockburne ,Drawing Which Makes Itself: Neighbourhood,,MoMA,1,FALSE,installation,"installation, drawing on wall, ransparentized paper, pencil, colored pencil, & felt-tip pen on wall",272 x 381 cm,1973,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,4,0,0,4,3,FALSE,0,5,5," empty space, use of wall, lines trace movement of folded & flipped sheet of paper, aligning corners to registration marks, sheet scored, leaving a line, trace of where paper has been - set of options in creating piece: cld be this cld be that"
92,Dora Maurer,Reversible and changeable phases of movement etude 3,conceptual,"e-flux, also in Tate",21,TRUE,photography,"photo, gelatin silver prints & chalk / graphite on paper",70 x 100 cmедМЭеВ,1973,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,1,1,0,0,2,2,FALSE,0,0,5,"multiple images, w/ & w/out hands, placement of ball in relation to hands and to containing square, repetition, ball in some shots, some w/ hands and no ball, some empty, sense of movement"
149,James Rosenquist,Sunglasses - Landing Net - Triangle,pop art,Tate,1,FALSE,print,"print, etching, drypoint & aquatint on paper",45 x 90 cm,1974,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,1,4,0,2,4,FALSE,0,5,5,"3 items in line differently handled w/ rotating textural lines around central shape, uses both line and area, hard to tell what this is"
305,Barry Le Va ,Pyramid: Center Points and Lengths (Through Points of Tangency): 3 Layers Separately Overlaid,,MoMA,1,FALSE,drawing,"drawing, ink on colored paper",107 x 320 cm,1974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,1,0,1,3,3,FALSE,5,5,0,"repetition & system to place lines, 2 colors, system to make work, animates space between almost signature-like marks, diagram-like, the shorter lines are so short that in some ways they read as points, puzzle as to what this is and how it was made"
306,Ant Farm,Cadillac Ranch Show,,MoMA,1,FALSE,photography,"photo, still from video (color, sound)",16:40 min video,1974,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,1,0,0,0,5,4,FALSE,0,0,5,"repetition & placing of utilitarian objects in way they can't be used, series of 10 different model Cadillacs (each features one step in evolution of the tail fin 1949-1963) half buried in ground. Consumerism, absurdity, why, how"
152,Dieter Roth,Untitled,,Hauser & Wirth Gallery (also Tate),5,TRUE,sculpture,"sculpture, toys, sweets, trinkets, printed matter, painting utensils, adhesive tape, tools, refuse, strips of wood & metal, glue on corrugated cardboard. Sour milk, fruit juice, cocoa, dead insects in plastic tubes, in wooden frame with openings for pouring in liquids",220 x 230 x 25 cm,1974,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,1,4,0,1,3,FALSE,0,5,5,"assemblage of objects & refuse w/ glue & sour milk etc in plastic tubes, w/ openings for pouring in liquids, wide unconventional use of materials often decomposing eg chocolate, dirt, glue, food: rotting. What is this?"
52,Tim Head,Ambidextrous ,conceptual,Tate,9,FALSE,photography,"photo, color on paper",24 x 24 cm,1974,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,0,0,0,4,2,TRUE,0,0,5,"playing w/ ambiguity & uncertainty of what something is, mirror-image illusion: mirror held by a right hand reflects an identical mirror held by a left hand"
116,Alistair Park,1. 9,representation,Tate,9,FALSE,print,"print, lithograph on paper",56 x 44 cm,1974,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,2,2,0,0,4,FALSE,0,3,5,"right side is out of focus, stooped figure is moving, halfway out of frame, empty center, b & w, what is the narrative"
336,Brion Gysin ,Plateau Beaubourg,,MoMA,9,FALSE,drawing,"drawing, ink & cut-and-pasted gelatin silver prints on paper",28 x 32 cm,1974,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,3,4,0,2,4,FALSE,0,5,5,"repetition, different sizes & scales, some overlapping, sense of collage, different lines & areas overlapping, complex spatial effects"
46,Giorgio Griffa,Segni orizzontali ,abstraction,Tate,6,FALSE,painting,"painting, acrylic on canvas",193 x 149 cm,1975,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,1,4,0,2,1,FALSE,0,5,3,"canvas hung, not stretched, & fold marks created, general simplicity, suggestion, tentativeness, angled paint lines stop halfway through a row"
114,Jules Olitski,Sahny-7,abstraction,Mutual Art also in Tate,1,FALSE,painting,"painting, acrylic on canvas",165 x 114 cm,1975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,0,4,0,0,4,FALSE,3,3,5,"splattered paint shapes on textural ground, splattering, spatial, indeterminate space"
99,Henri Michaux,[no title],,Tate,12,FALSE,print,"print, lithograph on paper",47 x 65 cm,1975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,2,1,0,5,3,FALSE,0,5,5,"complex shape/lines curving upwards / downwards, hard to tell what the marks are, suggestive of space"
27,Vija Celmins,Ocean ,conceptual,Tate,30,FALSE,print,"print, lithograph on paper",32 x 42 cm,1975,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,2,2,4,0,0,4,FALSE,0,0,5,"more ambiguity - is this a photo - & emptiness. Surface of ocean, no horizon, depth of space"
203,4sca Woodman,"Untitled, Providence, Rhode Island",,Victoria Miro Gallery also Tate,1,FALSE,photography,"photo, photograph, gelatin silver print on paper",20 x 25 cm,1976,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,4,2,0,0,4,FALSE,0,0,5,"trace of figure against part of actual figure, empty space, mysterious, what is suggested, slightly magical"
258,Jack Whitten,Liquid Space I,,MoMA,1,FALSE,painting,"painting, acrylic slip on paper",52 x 52 cm,1976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,3,4,0,1,2,FALSE,3,5,5,"smeared paint on paper, acrylic on paper slipping across surface, indeterminate space, parallel dragged lines w/ small cracked white lines across, as well as darker & lighter areas which follow curves give illusion of cloth, textural"
84,Mike Mandel & Larry Sultan, [no title] ,conceptual,Tate,1,FALSE,photography,"photo, gelatin silver print on paper",19 x 24 cm,1977,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,2,2,0,0,4,FALSE,0,0,5,"image is hard to understand, strange, ambiguous"
48,Philip Guston,Black Sea,,Tate,1,FALSE,painting,"painting, oil on canvas",173 x 297 cm,1977,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,4,1,3,0,0,4,FALSE,0,3,5,"isolated object, painterly handling, semi-abstract, strange"
136,Arnulf Rainer,Untitled (Death Mask),abstraction,Tate,2,FALSE,drawing,"drawing, oil pastel & photograph on paper",59 x 43 cm,1978,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,3,0,4,4,FALSE,0,5,0,"curved overlayered lines drawn over photo, lack of definite edges, multiple looping lines to define an edge, unclear where the edge is"
119,Giuseppe Penone,Study for ‰ЫчBreath of Clay‰ЫЄ ,arte povera,Tate,6,FALSE,drawing,"drawing, coffee, graphite & ink on paper",76 x 57 cm,1978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,4,0,0,4,FALSE,0,0,5,"differences in transparency, thin wash of coffee & ink, sense of liquid, staining, pour, shape in the space of the paper, hard to tell what this is"
75,Lee Ufan,From Line ,minimalism,Tate,28,FALSE,painting,"painting, oil & glue on canvas",182 x 228 cm,1978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,5,2,2,1,0,FALSE,0,5,0,"fading out parallel paint lines, handdrawn quality of marks, yellow almost erased lines seem to glow and absorb blue lines"
